Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 544.16 KW WITH 12000 KWH REMAINING AND 2400 KWH RESERVE.
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 253.876 KW. FINAL KWOUT IS 253.876 KW
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.G TO DISPATCH 266.012 KW. FINAL KWOUT IS 266.012 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 444.998 KW WITH 11348.7 KWH REMAINING AND 2400 KWH RESERVE.
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 476.375 KW. FINAL KWOUT IS 476.375 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.G TO DISPATCH 488.511 KW. FINAL KWOUT IS 488.511 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 415.681 KW WITH 10192.9 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 684.216 KW. FINAL KWOUT IS 684.216 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.G TO DISPATCH 500 KW. FINAL KWOUT IS 500 KW
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 199.257 KW WITH 10192.9 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 783.844 KW. FINAL KWOUT IS 783.844 KW
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 101.394 KW WITH 10192.9 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 834.541 KW. FINAL KWOUT IS 834.541 KW
Hour=18, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 51.7182 KW WITH 10192.9 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 860.4 KW. FINAL KWOUT IS 860.4 KW
Hour=18, Sec=0, ControlIter=5, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 26.3797 KW WITH 10192.9 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=5, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 873.59 KW. FINAL KWOUT IS 873.59 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 265.343 KW WITH 8571.3 KWH REMAINING AND 2400 KWH RESERVE.
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 1006.26 KW. FINAL KWOUT IS 1006.26 KW
Hour=19, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 133.488 KW WITH 8571.3 KWH REMAINING AND 2400 KWH RESERVE.
Hour=19, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 1073.01 KW. FINAL KWOUT IS 1073.01 KW
Hour=19, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 67.3375 KW WITH 8571.3 KWH REMAINING AND 2400 KWH RESERVE.
Hour=19, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 1106.67 KW. FINAL KWOUT IS 1106.67 KW
Hour=19, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 34.0466 KW WITH 8571.3 KWH REMAINING AND 2400 KWH RESERVE.
Hour=19, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 1123.7 KW. FINAL KWOUT IS 1123.7 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -193.703 KW WITH 6670.88 KWH REMAINING AND 2400 KWH RESERVE.
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 1026.85 KW. FINAL KWOUT IS 1026.85 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.G TO DISPATCH 403.148 KW. FINAL KWOUT IS 403.148 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -322.93 KW WITH 4982.41 KWH REMAINING AND 2400 KWH RESERVE.
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 865.381 KW. FINAL KWOUT IS 865.381 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.G TO DISPATCH 241.683 KW. FINAL KWOUT IS 241.683 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -284.741 KW WITH 3658.58 KWH REMAINING AND 2400 KWH RESERVE.
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 723.01 KW. FINAL KWOUT IS 723.01 KW
Hour=22, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -141.791 KW WITH 3658.58 KWH REMAINING AND 2400 KWH RESERVE.
Hour=22, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 652.115 KW. FINAL KWOUT IS 652.115 KW
Hour=22, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -70.6466 KW WITH 3658.58 KWH REMAINING AND 2400 KWH RESERVE.
Hour=22, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 616.791 KW. FINAL KWOUT IS 616.791 KW
Hour=22, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -35.1439 KW WITH 3658.58 KWH REMAINING AND 2400 KWH RESERVE.
Hour=22, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH 599.219 KW. FINAL KWOUT IS 599.219 KW
Hour=23, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -3310.44 KW WITH 2927.47 KWH REMAINING AND 2400 KWH RESERVE.
Hour=23, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE.F TO DISPATCH -1056 KW. SETTING STORAGE.F TO IDLING STATE. FINAL KWOUT IS -18.2039 KW
